dns_qdomainname,day,num_clients,rank,registration_period,client_sum_group,prob_obs_num_clients
mastercard.us,2022-11-01,41,46216.0,7669.0,116-116,5.342165713972946e-05
bmt-industry.com,2022-12-13,21,,365.0,21-21,7.729169887160658e-05
upland.me,2022-10-04,50,,2191.0,199-199,7.730364873226314e-05
vodafone.es,2022-12-14,21,8552.0,,23-23,8.041817450743505e-05
micro-semiconductor.hk,2022-11-07,25,,365.0,25-25,8.369601606961208e-05
apple.com,2022-10-03,649882,44.0,13150.0,280762-15442591,8.993614533714389e-05
psgsm.net,2022-12-14,27,,1461.0,27-27,9.062896501743634e-05
myfitnesspal.com,2022-10-19,1638,824.0,8035.0,15790-18245,9.112447604320284e-05
dropboxusercontent.com,2022-10-03,2847,1839.0,4383.0,25776-32652,9.114108640151386e-05
ocelotbot.com,2022-10-17,5549,,1096.0,81864-136004,9.135757357525698e-05
clienttons.com,2022-10-03,4420,,4018.0,56005-81863,9.152480318785905e-05
sc-gw.com,2022-10-19,11398,,1461.0,136005-280761,9.15583227106831e-05
hifimov.co,2023-01-04,32,,365.0,35-35,9.186110600778452e-05
p-cdn.us,2022-10-03,4782,,2190.0,41346-56004,9.195402294082111e-05
vzw.com,2022-10-03,2098,6775.0,8400.0,32653-41345,9.226794611738587e-05
carambo.la,2022-10-03,2071,126743.0,6575.0,18246-21349,9.256687957837073e-05
bytefcdn-oversea.com,2022-11-03,1948,,365.0,21350-25775,9.258402001066646e-05
yandex.ru,2022-10-03,915,20.0,8773.0,12291-13811,9.311853988935859e-05
sensic.net,2022-10-24,982,931073.0,6209.0,10927-12290,9.31185398919121e-05
qccerttest.com,2022-10-04,1569,,2191.0,9669-10926,9.397613005923677e-05
mopub.com,2022-10-19,1109,41375.0,5113.0,8503-9668,9.417969485592259e-05
learnosity.com,2022-10-24,954,406161.0,6210.0,13812-15789,9.450009450462371e-05
wayaway.io,2022-11-11,27,,365.0,31-31,9.518370454975056e-05
smassets.net,2022-10-03,816,,2191.0,5169-5629,9.525623928463567e-05
bank-cash168.com,2022-10-27,36,,365.0,36-36,9.527439024370477e-05
adlooxtracking.com,2022-10-24,621,271928.0,4018.0,6781-7587,9.541984733185682e-05
unitedartists.com,2022-11-07,37,,9495.0,37-37,9.561143512792913e-05
somd.org,2023-01-20,29,,9495.0,29-29,9.63205548063506e-05
nearpod.com,2022-11-15,3613,43800.0,5113.0,7588-8502,9.74848898454006e-05
sentinelone.net,2022-10-19,491,,3653.0,4374-4720,9.798157946394603e-05
technolutions.net,2022-11-07,754,755766.0,9130.0,6165-6780,9.872642906738616e-05
abcfinancial.com,2022-10-19,632,284160.0,10594.0,3318-3537,9.931472837532151e-05
lifehacker.com,2022-10-03,348,466.0,6939.0,3538-3778,9.98502246642996e-05
dca0.com,2022-10-19,1391,,2922.0,5630-6164,0.00010005002501578542
nymag.com,2022-10-19,337,1694.0,10226.0,2802-2949,0.00010033109260909612
alexa.com,2022-10-03,365,1962.0,10225.0,3125-3317,0.0001003411599436177
mediarithmics.com,2022-10-03,933,938098.0,4748.0,3779-4055,0.00010041168791818933
libanswers.com,2022-10-05,409,79877.0,5478.0,2950-3124,0.00010090817356445125
carta.com,2023-01-04,318,,10592.0,1771-1850,0.0001017190519789768
nt.run,2022-10-05,387,,731.0,2681-2801,0.00010244851961738188
nexage.com,2022-10-19,302,430933.0,9130.0,2478-2575,0.0001028171910348874
pinger.com,2022-10-19,357,27006.0,8036.0,2377-2477,0.00010331645831018754
huffpost.com,2022-11-02,332,6862.0,6940.0,2576-2680,0.00010390689941897069
noemamag.com,2022-10-06,472,,1826.0,2290-2376,0.0001039501039487023
club-os.com,2022-10-19,399,292678.0,4748.0,2197-2289,0.0001039933444212382
ipstatp.com,2022-10-19,306,,2922.0,2102-2196,0.00010400416016598246
globalimporter.net,2022-10-21,39,73179.0,8401.0,39-39,0.00010407993338901189
prreqcroab.icu,2022-11-09,626,,365.0,2011-2101,0.00010488777008632599
shareaholic.net,2022-11-02,170,,5844.0,1936-2010,0.00010622477161725818
ihago.net,2022-10-31,33,,2192.0,33-33,0.00010624734381659007
inaturalist.org,2022-10-13,40,136394.0,7670.0,116-116,0.00010684331427956995
vscode-unpkg.net,2022-10-15,78,,730.0,202-203,0.00010714668380995551
cogocast.net,2022-10-19,344,,3652.0,1522-1579,0.00010726161106888732
credoreference.com,2022-10-05,523,159378.0,5844.0,1701-1770,0.00010766580533949632
mentalflare.com,2022-10-05,40,508202.0,2922.0,42-42,0.00010833062506798719
3daimtrainer.com,2022-10-06,24,,2556.0,41-41,0.00010879025239318718
tommarch.com,2022-10-27,38,887962.0,8035.0,38-38,0.0001107174490698748
awardspring.com,2022-10-17,587,447679.0,2922.0,1851-1935,0.00011289230074607026
mypoweroffer.com,2022-11-22,399,,365.0,1642-1700,0.00011293054771432942
technologyreview.com,2022-11-01,298,6906.0,12417.0,1358-1407,0.00011293054771466249
akahost.net,2022-10-03,225,,3349.0,1309-1357,0.00011300711944917108
eatingwell.com,2022-10-18,346,7299.0,9860.0,1472-1521,0.00011383039271561923
longreads.com,2022-11-01,300,72938.0,5478.0,1258-1308,0.00011384335154807079
atlasobscura.com,2022-10-25,296,9177.0,5844.0,1580-1641,0.00011494252873445188
elephant.art,2022-10-19,179,,2557.0,211-212,0.000115340253748486
hydromassage.com,2022-10-19,208,,8035.0,1159-1203,0.00011603620329436737
refinery29.com,2022-10-24,302,1206.0,8766.0,1408-1471,0.0001161440185829532
laphamsquarterly.org,2022-10-06,261,162789.0,6574.0,1020-1053,0.00011816140848419643
surfside.io,2022-10-19,217,,3287.0,1121-1158,0.00011924636298610292
igamecj.com,2022-10-11,330,,2557.0,1085-1120,0.00012012012012108109
thekitchn.com,2022-10-05,283,883.0,5844.0,813-833,0.0001205690860850428
quantamagazine.org,2022-10-03,326,106389.0,4018.0,933-959,0.00012065637065561408
expmag.com,2022-10-13,275,,6940.0,1204-1257,0.0001209628644002203
adbutter.net,2022-10-24,461,,5114.0,1054-1084,0.00012241400416068693
pygame.org,2022-10-15,40,125450.0,9131.0,43-43,0.00012419274714348116
qbox.me,2022-10-13,48,92434.0,5479.0,198-198,0.00012503125781437863
savagebeast.com,2022-10-04,193,241060.0,8766.0,631-644,0.00012537612838570134
columbia.edu,2022-11-07,155,1926.0,13175.0,986-1019,0.0001257387149496969
garticphone.com,2022-10-15,46,,365.0,60-60,0.00012653422750885657
sifee.biz,2022-10-26,44,,3286.0,44-44,0.00012658227848061365
skepticalinquirer.org,2022-11-02,70,,8400.0,201-201,0.00012727504136478274
yale.edu,2022-10-24,310,3305.0,12555.0,851-876,0.00012761613067924227
pokemon-unitepgame.com,2022-10-04,232,,1461.0,500-510,0.00012815583749858916
imgfeedbuzz.com,2022-11-15,547,,365.0,715-729,0.0001285016705221409
atavist.com,2022-10-03,333,55192.0,9129.0,960-985,0.00012855122766441962
twitcasting.tv,2022-11-01,26,3386.0,5113.0,47-47,0.00012865045670951147
explore.org,2022-10-04,233,45777.0,7670.0,661-678,0.00012944983818719002
nyu.edu,2022-11-08,170,2367.0,12715.0,877-904,0.0001294833613874058
instantrevert.net,2022-10-27,135,,3287.0,216-218,0.0001296680497927527
cntraveller.com,2022-10-25,272,32401.0,9497.0,834-850,0.00012973533990612296
esputnik.com,2022-11-11,145,248073.0,4018.0,905-932,0.0001309071868048628
nme.com,2022-11-14,281,7590.0,10228.0,679-693,0.00013092432574046686
restofworld.org,2022-10-24,283,,2192.0,791-812,0.0001309929263826337
clippit.tv,2022-10-04,38,,3287.0,54-54,0.0001314405888540593
racdigital.co.uk,2022-11-03,42,,3287.0,45-45,0.0001324854266031572
slackhq.com,2023-01-04,338,47368.0,3652.0,770-790,0.00013372559507984771
tfaforms.com,2022-11-02,87,51775.0,4748.0,440-449,0.0001351533991081899
afar.com,2022-10-25,256,18903.0,8766.0,599-614,0.000135153399108634
themarkup.org,2022-10-03,283,,1826.0,407-415,0.00013574046423281416
momoshop.com.tw,2022-10-17,29,658.0,6583.0,50-50,0.00013664935774770903
stereogum.com,2022-10-03,343,8994.0,10062.0,730-748,0.00013679890560802654
abc.net.au,2022-11-14,302,1284.0,,556-568,0.0001371365880412645
foreignaffairs.com,2022-11-03,253,21591.0,12418.0,532-543,0.00013724951962690302
euronews.com,2022-11-15,270,2861.0,9497.0,583-598,0.00013825521913379824
vidaahub.com,2022-10-31,43,,1096.0,49-49,0.00013842746400916095
dl0.cc,2022-10-04,33,,1826.0,51-51,0.00013852334118280574
securly.com,2022-11-03,280,81506.0,4383.0,520-531,0.0001387732445176093
lakesonline.com,2022-10-12,51,372133.0,10957.0,57-57,0.00013927576601691083
tatler.com,2022-10-04,285,116686.0,9497.0,481-490,0.0001393145723030953
blind-magazine.com,2022-11-14,190,,731.0,458-466,0.00013939224979087061
il.fi,2022-10-17,34,,1826.0,56-56,0.0001396648044693638
statnews.com,2022-10-04,286,59962.0,7305.0,749-769,0.00014027212792744326
socrative.com,2022-11-14,571,22264.0,6209.0,694-714,0.00014040999719289182
mississinewa1812.com,2022-10-03,53,,1430.0,53-53,0.00014094432699085502
itsnicethat.com,2022-12-14,53,46845.0,7329.0,132-133,0.00014176353841766076
seriouseats.com,2022-10-25,238,2853.0,6575.0,569-582,0.00014210601108488596
ipsharkk.com,2022-10-14,283,,5114.0,615-630,0.00014216661927746177
ebay.fr,2022-11-25,24,584.0,5583.0,61-61,0.00014269406392686257
addroid.com,2022-10-04,65,,6939.0,225-227,0.00014320492624964043
blend.com,2022-10-03,47,,8400.0,207-208,0.00014320492624986247
punchdrink.com,2022-11-14,280,261129.0,7670.0,388-394,0.000143410296859936
123go.cn,2023-01-15,52,,6575.0,52-52,0.00014407145944417277
bingsearchlib.com,2023-01-20,58,,730.0,58-58,0.00014421690222055084
powerball.com,2022-11-08,135,17226.0,10555.0,474-480,0.00014511681903928153
garr.it,2022-10-06,87,310384.0,9862.0,189-191,0.0001453911020639076
mcclintockfamilydental.com,2022-11-14,58,,4018.0,62-62,0.0001455604075689676
autowarrantyvt.com,2022-11-01,63,,1826.0,63-63,0.000145836371591046
thebaffler.com,2022-11-07,220,197889.0,11323.0,491-499,0.0001463914507392472
liveme.com,2022-10-05,42,,8765.0,209-210,0.00014852220406968986
nowthisnews.com,2022-11-07,291,204598.0,4017.0,423-431,0.00014912019087376382
ucc.ie,2022-10-12,50,50112.0,10227.0,112-113,0.00014918693122478732
grist.org,2022-10-25,157,30898.0,8400.0,400-406,0.00014970059880292652
bostonmagazine.com,2022-10-11,296,32335.0,10227.0,645-660,0.00014972301242743846
cnsvs.com,2022-10-27,78,851373.0,8036.0,238-241,0.00015030813166994061
saveur.com,2022-10-06,220,10072.0,9862.0,432-439,0.00015033072760040067
repl.co,2022-10-15,386,,3651.0,511-519,0.00015055706112587774
inews.co.uk,2022-10-14,117,,8766.0,344-349,0.0001513088213038749
life360.cloud,2023-01-17,119,,1826.0,296-299,0.00015153811183499233
udiscovermusic.com,2022-10-07,138,69681.0,4749.0,280-283,0.0001516070345667364
pudding.cool,2022-10-18,168,,2556.0,308-312,0.00015195259079159307
pixlr.com,2022-10-24,56,1683.0,5844.0,213-214,0.00015271838729402631
alpaca.markets,2022-10-04,19,,4383.0,21-21,0.00015458339774310215
upland.me,2022-10-05,42,,2191.0,199-199,0.00015460729746452628
kontinentalist.com,2022-11-15,247,,3287.0,292-295,0.00015467904098964702
mla.org,2022-11-02,98,98057.0,11687.0,333-338,0.0001547748026620166
backpacker.com,2022-11-09,263,27687.0,10228.0,382-387,0.00015566625155738478
youltube.biz,2022-11-02,530,,365.0,544-555,0.00015573898146725718
news.cn,2022-12-01,66,3749.0,7305.0,221-222,0.00015581177937085133
codastory.com,2022-12-19,33,,3652.0,55-55,0.0001559332605645114
leadspediatrack.com,2022-11-15,277,,3652.0,369-375,0.00015725743041383744
eacdn.com,2022-10-03,117,122224.0,3652.0,467-473,0.0001574059499445113
swapcard.com,2022-10-19,75,294332.0,8766.0,127-128,0.00015999999999993797
people.com.cn,2022-10-31,73,6864.0,9861.0,323-327,0.00016012810248189346
everskies.com,2022-10-31,34,,1096.0,116-116,0.00016026497141941043
jibjab.com,2022-11-11,93,7647.0,9781.0,231-232,0.0001608492842208875
ged.com,2022-10-01,62,120834.0,10226.0,265-268,0.00016233766233797464
under9.co,2022-10-03,67,,2921.0,450-457,0.00016273393002408376
gpcloudservice.com,2022-12-22,95,,5480.0,228-230,0.0001640689089418279
dazeddigital.com,2022-10-21,51,13035.0,6209.0,245-248,0.0001644736842101313
centerforinquiry.org,2022-11-02,122,,3287.0,363-368,0.00016512549537639476
uloz.to,2022-10-06,24,3067.0,,25-25,0.00016739203213922416
stantec.com,2022-10-24,75,170135.0,9496.0,233-235,0.00016784155756932595
trackplaystar.com,2022-10-17,43,,730.0,65-65,0.0001684352366509989
adha.org,2022-10-18,64,423102.0,12784.0,176-178,0.00016960651288977502
earlygame.com,2022-10-26,39,,3652.0,205-206,0.0001704158145880985
loopcybersec.com,2022-11-27,58,,365.0,272-275,0.00017085255424598156
astra-mag.com,2022-10-05,100,,730.0,158-159,0.00017185083347592833
knowablemagazine.org,2022-10-24,78,,3652.0,300-303,0.00017298045320868205
missouristate.edu,2022-11-02,126,27499.0,5944.0,313-317,0.00017367141368618277
elements.video,2022-10-13,90,,731.0,170-172,0.00017424638438712226
un.org,2022-10-24,54,2535.0,10593.0,339-343,0.0001754078231888112
repl.it,2022-10-15,62,90383.0,4383.0,75-75,0.00017611835153241717
greenpeace.org,2022-11-08,110,15400.0,11321.0,223-224,0.00017646020822337238
padlet.org,2022-11-03,100,473447.0,3652.0,288-291,0.00017652250661981395
hcn.org,2022-10-27,209,148774.0,10957.0,376-381,0.00017727353306129512
bdo.com,2023-01-05,33,133256.0,13516.0,77-77,0.00017727353306140614
mysoluto.com,2023-01-09,68,,6575.0,255-258,0.00017765144785897302
schoolofwordplay.com,2022-10-03,34,,1461.0,66-66,0.0001782848992688546
platocdn.com,2022-11-10,36,,365.0,118-118,0.00017943656917207562
apple.com,2022-10-04,610880,44.0,13150.0,280762-15442591,0.00017987229067395472
ff-01.com,2022-10-07,53,,365.0,147-148,0.0001806684733515196
marineparents.com,2022-11-10,25,684093.0,9497.0,27-27,0.00018125793003465063
intelink.gov,2023-01-17,45,,,71-71,0.000181422351233973
deltamath.com,2022-10-15,30,427115.0,5844.0,64-64,0.0001816200508537591
hrw.org,2022-10-24,78,22944.0,10957.0,242-244,0.0001817520901491454
myfitnesspal.com,2022-11-02,1455,824.0,8035.0,15790-18245,0.00018224895207741287
fitbit.com,2022-11-02,1974,1016.0,8036.0,25776-32652,0.00018228217280324976
usaclean.com,2023-01-11,39,,9861.0,67-67,0.00018251505749233843
uptodown.com,2022-12-10,98,284.0,8952.0,357-362,0.00018268176835922745
bugsnag.com,2022-10-03,5539,45585.0,5844.0,81864-136004,0.00018271514711809544
gal-dem.com,2022-10-07,136,,2922.0,252-254,0.00018301610541759938
sc-prod.net,2022-10-03,3879,,2192.0,56005-81863,0.0001830496064095799
sc-gw.com,2022-10-03,11264,,1461.0,136005-280761,0.0001831166453621913
doodles.goog,2022-10-31,262,,1096.0,276-279,0.00018321729571324497
answeredthec.xyz,2022-10-25,29,,365.0,35-35,0.00018372221201545802
p-cdn.us,2022-10-19,4781,,2190.0,41346-56004,0.00018390804592938181
axds.co,2022-12-23,106,,2556.0,150-151,0.00018409425625931508
vzw.com,2022-10-04,2094,6775.0,8400.0,32653-41345,0.00018453589223288436
infinox.tech,2022-10-07,44,,2556.0,76-76,0.0001850823616509345
proprofs.com,2022-11-10,77,4533.0,8401.0,328-332,0.00018511662347320268
backblaze.com,2022-12-25,1928,27003.0,6940.0,18246-21349,0.00018513375914885888
bytefcdn-oversea.com,2022-11-01,1875,,365.0,21350-25775,0.0001851680400087874
asrt.org,2022-10-17,74,259540.0,10591.0,139-140,0.00018542555164080543
christiansunite.com,2022-11-10,68,149406.0,8766.0,73-73,0.000185701021355289
cpromarket.com,2023-01-17,32,,4017.0,32-32,0.0001861157640049571
steelyard.ca,2023-01-16,32,,5844.0,32-32,0.0001861157640049571
allsides.com,2022-10-03,44,616718.0,7305.0,72-72,0.0001861850679576449
duolingo.com,2022-10-03,882,1285.0,5113.0,12291-13811,0.00018623707979070758
