day,dns_qdomainname,shieldid
2022-11-09,10eafd09d6.com,4
2022-12-02,10scopes.com,4
2022-10-04,2addicts.com,4
2022-10-03,3dayblinds.com,4
2022-11-08,560fe03925.com,5
2022-10-19,6flags.com,4
2022-11-23,accengage.net,4
2022-11-03,accountable.us,4
2022-10-13,adamcarolla.com,4
2022-11-09,adamforcolorado.com,4
2022-10-03,addroid.com,5
2022-10-04,addroid.com,5
2022-10-05,addroid.com,4
2022-10-04,adflare.tech,5
2022-10-03,adonrp.com,5
2023-01-13,aerisweather.com,4
2022-10-27,agenda.ge,4
2022-10-03,aicrc.org,4
2022-10-17,aisnogames.com,4
2022-10-04,allinbyteddi.com,4
2022-11-08,allintovote.org,4
2022-10-27,americanhealth.news,5
2022-10-04,ameriprisecontent.com,4
2022-10-03,amoanimals.com,4
2022-12-15,amsa-trk.com,5
2022-12-20,amsa-trk.com,6
2022-12-21,amsa-trk.com,5
2022-12-22,amsa-trk.com,4
2022-10-04,analytics-active.com,4
2022-11-09,andwhenmyf.xyz,4
2022-10-04,animegeek.com,4
2022-11-15,aqixweeksbef.xyz,4
2023-01-17,arelion.com,4
2022-10-31,artsatl.org,4
2023-01-17,ashousingauthority.com,4
2022-10-03,asianmoviepulse.com,4
2022-11-11,aspendailynews.com,4
2022-11-08,astartingpoint.com,4
2022-10-03,astoncarter.com,5
2022-10-05,astra-mag.com,10
2022-10-06,astra-mag.com,8
2022-10-03,atlanticrecords.com,4
2022-11-04,aulttrailwaysi.xyz,4
2023-01-16,authenticallyg.com,4
2022-11-10,authority.builders,5
2022-10-14,autoblotg.com,4
2022-10-14,autoinsuranceez.com,4
2022-11-07,autowise.com,4
2022-10-17,avangate.net,4
2022-10-03,ayc0zsm69431gfebd.xyz,4
2022-10-05,ayc0zsm69431gfebd.xyz,4
2023-01-16,backendnews.net,4
2022-10-11,ballastone.com,4
2023-01-03,barexlmal.beauty,4
2022-11-01,barrytok.com,5
2022-11-15,bassonline.com,4
2023-01-16,bbb-usa.com,4
2022-10-04,benextbrand.com,4
2023-01-04,beside.media,10
2023-01-05,beside.media,6
2022-12-09,bestdecembergifts.com,4
2022-11-08,bestgadget2022.info,4
2022-11-02,bestonlinemortgageloan.com,4
2022-10-03,bfoperations.com,5
2022-10-03,bger.ch,7
2022-11-15,bigcatchflorida.com,4
2022-10-25,blavityinc.com,4
2023-01-10,bobs-steakandchop.com,4
2023-01-19,bookeasy.com.au,4
2022-10-03,bookies.com,4
2022-10-03,braincharm.com,6
2022-10-05,braincharm.com,4
2022-11-03,bravocon2022.com,4
2022-10-31,budgethealthamerica.com,5
2022-10-18,buybutwhere.com,4
2022-10-04,cactusplantfleamarket.com,4
2022-10-03,caifuhome.com,4
2022-10-31,camparigroup.com,4
2022-11-07,campfire.fm,4
2022-10-22,case.law,4
2022-10-04,cellacore.net,4
2022-10-28,cfo.com,4
2023-01-19,chatgpt.pro,4
2022-11-03,checktoprotect.org,6
2022-10-27,chesterstandard.co.uk,4
2022-10-05,chicagoredstars.com,4
2022-10-06,christinefororegon.com,4
2022-10-03,cironline.org,5
2022-10-04,cise.store,4
2022-10-04,citientertainment.com,4
2022-11-15,cityofhouston.news,5
2022-10-22,clevelandjewishnews.com,4
2022-10-04,clippit.tv,4
2022-10-04,clippituser.tv,4
2022-10-05,closeyourdoor.org,5
2022-10-05,cltampa.com,4
2022-11-01,cognitionmesmerize.com,4
2022-11-10,collectiveray.com,5
2022-10-18,comeon2021.com,5
2023-01-10,constellationr.com,4
2022-10-04,constitutionus.com,4
2022-10-17,contactout.com,4
2022-10-03,contagiousantagonizequarry.com,4
2022-10-18,correlation-one.com,4
2022-11-07,creedaileenboiler.com,5
2022-11-08,creedaileenboiler.com,4
2022-11-09,creedaileenboiler.com,4
2022-10-04,cultofweird.com,4
2022-10-11,curlsmith.com,4
2023-01-04,customer-savings.net,4
2023-01-10,cxoinsyte.com,4
2022-11-03,d1baseball.com,4
2022-11-02,dahliastylist.com,4
2022-11-03,dahliastylist.com,4
2022-10-03,dailyprosper.com,4
2023-01-18,dallaspodiatryworks.com,4
2022-10-31,dallasvintageshop.com,4
2022-11-03,danaellishunnes.com,5
2022-11-18,danaellishunnes.com,4
2022-10-17,daveynutrition.com,5
2022-11-02,deff.com,4
2022-10-03,dft-cdn42.net,4
2023-01-12,digitellcdn.com,4
2023-01-12,digitellinc.com,4
2022-10-21,directgeneral.com,4
2022-10-03,directhealthinsider.com,4
2022-10-03,disreputablegenuinelyhonorary.com,4
2022-11-02,distributednews.com,4
2022-10-03,dnaspaces.io,4
2022-10-27,donda.org,7
2022-10-31,doodles.goog,12
2022-10-04,dornob.com,4
2022-10-04,downin.africa,6
2022-10-17,drewbarrymoreblog.com,4
2022-10-03,dropboxfingerprintjs.com,4
2022-10-04,dropboxfingerprintjs.com,4
2022-10-06,dropboxfingerprintjs.com,4
2022-10-07,dropboxfingerprintjs.com,5
2023-01-18,duocircle.com,4
2022-10-04,dxe.io,4
2023-01-16,e2optics.com,4
2023-01-18,e2optics.com,4
2022-10-03,earnware.com,4
2022-10-03,easyseasonal.com,4
2023-01-10,eclypsium.io,4
2022-10-03,edsheeran.com,4
2022-10-03,effusedprankle.com,4
2022-10-04,effusedprankle.com,4
2023-01-20,efile4biz.com,6
